,Job Title Index,Job ID,Job Title,Company Name,Company Location,Link
0,1,p_8cbde469b526f937,Municipal Designer,"Gannett Fleming, Inc.","Toronto, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=p_8cbde469b526f937
1,1,p_476ef0c6c3f20408,Mechanical Engineering Graduate,AECOM,"Winnipeg, MB",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=p_476ef0c6c3f20408
2,1,p_ec1badbed12494f1,Applications Engineer,Technel Engineering Inc.,"Woodbridge, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=p_ec1badbed12494f1
3,1,p_6c9bf8399ff4fed6,Structural Engineering Graduate,AECOM,"Winnipeg, MB",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=p_6c9bf8399ff4fed6
4,1,pj_3265188d7c2601b5,Metallurgist,Flank Engineering Inc.,"Burlington, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=pj_3265188d7c2601b5
5,1,p_ac2f8155bbff00d8,Project Coordinator,O'Neill Project Management Inc.,"Saskatoon, SK",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=p_ac2f8155bbff00d8
6,1,p_147babeac0c3e5db,Project Coordinator,CEDA,"Edmonton, AB",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=p_147babeac0c3e5db
7,1,pj_a1f63b57ca0e6770,Electrical EIT,Core One Consulting Ltd.,"Montréal, QC",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=pj_a1f63b57ca0e6770
8,1,p_c48406d023594c71,Field Production Engineer (EIT),Canlin Energy Corporation,"Rocky Mountain House, AB",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=p_c48406d023594c71
9,1,p_74aa66051d783d68,Facility Integrity Engineer / Engineer-In-Training,TC Energy,"Calgary, AB",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=p_74aa66051d783d68
10,1,p_6543886681222306,Sales Coordinator,Newton Group Ltd.,"Guelph, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=p_6543886681222306
11,1,p_b975563931a16ce4,Junior Water/Wastewater Engineer,Jacobs,"Toronto, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=p_b975563931a16ce4
12,1,p_0881f0be77980352,Planning Coordinator,FWS Group,"Winnipeg, MB",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=p_0881f0be77980352
13,1,p_bad432788d4f1117,Civil Engineer,HDR,"Vancouver, BC",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=p_bad432788d4f1117
14,1,p_e1d11f33349edad9,"Designer, EIT - Bridges",WSP,"Regina, SK",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=0&vjk=p_e1d11f33349edad9
15,1,p_e1976b7691e999b0,Engineer-in-Training (EIT),City of Edmonton,"Edmonton, AB",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=p_e1976b7691e999b0
16,1,p_e9ee36e980b46d48,Engineer I - Welding Engineering - MF - KIN - Jan 2021,Framatome,"Kincardine, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=p_e9ee36e980b46d48
17,1,p_a212185ce3489bf0,Project Manager I - Project Delivery Branch,City of Vancouver,"Vancouver, BC",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=p_a212185ce3489bf0
18,1,pj_12ab08852874b8fd,Civil Project Manager,Waterford Executive,"Barrie, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=pj_12ab08852874b8fd
19,1,pj_46217fb895c97000,Electrical Engineer,Unit Electrical Engineering Ltd.,"Okanagan Falls, BC",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=pj_46217fb895c97000
20,1,p_50c173dda09569e5,Junior/intermediate Project and Process Engineers,Atlas BA Consulting Engineering,"Calgary, AB",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=p_50c173dda09569e5
21,1,p_feba946509c13a2c,Transportation Technologist / Engineer-in-Training (E.I.T.),C.F. Crozier & Associates Inc.,"Milton, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=p_feba946509c13a2c
22,1,p_6386f4418f561175,Junior Traffic Engineer (EIT),McElhanney Ltd.,"Surrey, BC",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=p_6386f4418f561175
23,1,p_9040853200753110,Geotechnical/Civil EIT,exp,"Greater Sudbury, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=p_9040853200753110
24,1,p_8949f8d75b60db0b,Project Coordinator,Comtech Group,"Toronto, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=p_8949f8d75b60db0b
25,1,p_8efc883198ef41c6,Asset Planning Analyst,"City of Burlington, Ontario","Burlington, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=p_8efc883198ef41c6
26,1,p_778832ad534eec2e,Mechanical Engineer,Westinghouse Electric Company,"Peterborough, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=p_778832ad534eec2e
27,1,p_cb14c70f08d04d42,Junior Acoustics & Vibration Specialist/Engineer,Wood Plc,"Oakville, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=p_cb14c70f08d04d42
28,1,p_f698d93f3300fe31,Engineering Technologist II,Chatham-Kent,"Chatham-Kent, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=p_f698d93f3300fe31
29,1,p_9ba21c595163e388,Superintendent,Tritech group,"Langley, BC",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=10&vjk=p_9ba21c595163e388
30,1,p_b6af9db0fadf033c,Project Coordinator,OCL Group,"Fort McMurray, AB",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=20&vjk=p_b6af9db0fadf033c
31,1,p_dfe2c00f5e7cc314,Lead Engineering Technologist – Operations,District of Sooke,"Sooke, BC",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=20&vjk=p_dfe2c00f5e7cc314
32,1,p_8cbe1da16e2b93da,Quotations Specialist,Robertson Electric Wholesale,"Ottawa, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=20&vjk=p_8cbe1da16e2b93da
33,1,p_90e9981a065399a7,Project Manager / Estimator,Hall Mechanical Services Inc,"Surrey, BC",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=20&vjk=p_90e9981a065399a7
34,1,p_4f132dadad130133,Environmental Engineer/Geoscientist,SLR Consulting,"Regina, SK",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=20&vjk=p_4f132dadad130133
35,1,p_da66e3b24d28e98a,Environmental Engineer / Geoscientist,SLR Consulting (Canada),"Regina, SK",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=20&vjk=p_da66e3b24d28e98a
36,1,p_65b476e8b461b028,Project Manager - Special Projects - Montreal,Canadian Pacific,"Montréal, QC",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=20&vjk=p_65b476e8b461b028
37,1,p_8949f8d75b60db0b,Project Coordinator,Comtech Group,"Toronto, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_8949f8d75b60db0b
38,1,p_6386f4418f561175,Junior Traffic Engineer (EIT),McElhanney Ltd.,"Surrey, BC",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_6386f4418f561175
39,1,p_9040853200753110,Geotechnical/Civil EIT,exp,"Greater Sudbury, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_9040853200753110
40,1,p_8efc883198ef41c6,Asset Planning Analyst,"City of Burlington, Ontario","Burlington, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_8efc883198ef41c6
41,1,p_778832ad534eec2e,Mechanical Engineer,Westinghouse Electric Company,"Peterborough, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_778832ad534eec2e
42,1,p_cb14c70f08d04d42,Junior Acoustics & Vibration Specialist/Engineer,Wood Plc,"Oakville, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_cb14c70f08d04d42
43,1,p_9ba21c595163e388,Superintendent,Tritech group,"Langley, BC",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_9ba21c595163e388
44,1,p_b6af9db0fadf033c,Project Coordinator,OCL Group,"Fort McMurray, AB",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_b6af9db0fadf033c
45,1,p_f698d93f3300fe31,Engineering Technologist II,Chatham-Kent,"Chatham-Kent, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_f698d93f3300fe31
46,1,p_8cbe1da16e2b93da,Quotations Specialist,Robertson Electric Wholesale,"Ottawa, ON",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_8cbe1da16e2b93da
47,1,p_dfe2c00f5e7cc314,Lead Engineering Technologist – Operations,District of Sooke,"Sooke, BC",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_dfe2c00f5e7cc314
48,1,p_90e9981a065399a7,Project Manager / Estimator,Hall Mechanical Services Inc,"Surrey, BC",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_90e9981a065399a7
49,1,p_da66e3b24d28e98a,Environmental Engineer / Geoscientist,SLR Consulting (Canada),"Regina, SK",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_da66e3b24d28e98a
50,1,p_4f132dadad130133,Environmental Engineer/Geoscientist,SLR Consulting,"Regina, SK",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_4f132dadad130133
51,1,p_65b476e8b461b028,Project Manager - Special Projects - Montreal,Canadian Pacific,"Montréal, QC",https://ca.indeed.com/jobs?q=Process+EIT&l=canada&sort=date&fromage=14&start=30&vjk=p_65b476e8b461b028
52,2,p_ff5b263212c4cc2c,Engineer - Planning,Nova Scotia Power Inc.,"Lingan, NS",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=p_ff5b263212c4cc2c
53,2,p_30aa30e029342acb,Mechanical Engineer in Training - Saskatoon,Hatch,"Saskatoon, SK",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=p_30aa30e029342acb
54,2,p_0af954bb7dd543aa,Civil Engineer-in-Training,Urban Systems,"Fort St. John, BC",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=p_0af954bb7dd543aa
55,2,p_2b4f4d384d0a7426,Piping Engineer in Training - Saskatoon,Hatch,"Saskatoon, SK",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=p_2b4f4d384d0a7426
56,2,p_bbb691886e7b9460,Engineer in Training,Trans-Plan Transportation Inc.,"Toronto, ON",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=p_bbb691886e7b9460
57,2,p_6c9bf8399ff4fed6,Structural Engineering Graduate,AECOM,"Winnipeg, MB",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=p_6c9bf8399ff4fed6
58,2,p_4fe94d38a481d534,Engineer in Training,Plains Midstream Canada,"Empress, AB",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=p_4fe94d38a481d534
59,2,p_cc8f2cd85e3ab89e,Development Coordinator (Engineer-in-Training),Canadian Solar,"Calgary, AB",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=p_cc8f2cd85e3ab89e
60,2,p_74aa66051d783d68,Facility Integrity Engineer / Engineer-In-Training,TC Energy,"Calgary, AB",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=p_74aa66051d783d68
61,2,p_0dae6d446fd73114,Intermediate Hydrologist / Civil Engineer,Wood Plc,"Oakville, ON",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=p_0dae6d446fd73114
62,2,p_b975563931a16ce4,Junior Water/Wastewater Engineer,Jacobs,"Toronto, ON",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=p_b975563931a16ce4
63,2,pj_db7d348781c0f1da,Production and Parts Supervisor,Ian Martin Workforce,"Saint John, NB",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=pj_db7d348781c0f1da
64,2,p_e1976b7691e999b0,Engineer-in-Training (EIT),City of Edmonton,"Edmonton, AB",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=p_e1976b7691e999b0
65,2,pj_6247bd32a26ab390,Project Manager,Rio Tinto,"Kitimat, BC",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=pj_6247bd32a26ab390
66,2,p_feba946509c13a2c,Transportation Technologist / Engineer-in-Training (E.I.T.),C.F. Crozier & Associates Inc.,"Milton, ON",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=0&vjk=p_feba946509c13a2c
67,2,p_50c173dda09569e5,Junior/intermediate Project and Process Engineers,Atlas BA Consulting Engineering,"Calgary, AB",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=10&vjk=p_50c173dda09569e5
68,2,p_8949f8d75b60db0b,Project Coordinator,Comtech Group,"Toronto, ON",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=10&vjk=p_8949f8d75b60db0b
69,2,p_fafe001c4f8d2979,Rainwater Management Engineer,City of Vancouver,"Vancouver, BC",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=10&vjk=p_fafe001c4f8d2979
70,2,p_2fbf66573e18a00f,Electrical Project Engineering ( Project Holder),LabTest Certification Inc,"Delta, BC",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=10&vjk=p_2fbf66573e18a00f
71,2,p_cb14c70f08d04d42,Junior Acoustics & Vibration Specialist/Engineer,Wood Plc,"Oakville, ON",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=10&vjk=p_cb14c70f08d04d42
72,2,p_9ba21c595163e388,Superintendent,Tritech group,"Langley, BC",https://ca.indeed.com/jobs?q=Process+Engineer-in-training&l=canada&sort=date&fromage=14&start=10&vjk=p_9ba21c595163e388
73,3,pj_5c861f71660bdd90,Jr. Automation Process Engineer,Crystal Claire Cosmetics Inc,"Toronto, ON",https://ca.indeed.com/jobs?q=Junior+Process+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=pj_5c861f71660bdd90
74,3,p_bb32230b8141d238,Junior Process Engineer,Enerkem Inc.,"Montréal, QC",https://ca.indeed.com/jobs?q=Junior+Process+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_bb32230b8141d238
75,3,p_1172f615ab98a9f7,"Engineer - Process, Junior",Linamar Corp,"Guelph, ON",https://ca.indeed.com/jobs?q=Junior+Process+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_1172f615ab98a9f7
76,3,p_50c173dda09569e5,Junior/intermediate Project and Process Engineers,Atlas BA Consulting Engineering,"Calgary, AB",https://ca.indeed.com/jobs?q=Junior+Process+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_50c173dda09569e5
77,3,p_34a2c582637605d1,Junior Process Engineer (Open),SNC-Lavalin,"Mississauga, ON",https://ca.indeed.com/jobs?q=Junior+Process+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_34a2c582637605d1
78,3,p_3fd3f65e2782b38c,Junior Process/Mechanical Engineer,SNC-Lavalin,"Mississauga, ON",https://ca.indeed.com/jobs?q=Junior+Process+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_3fd3f65e2782b38c
79,3,pj_5c861f71660bdd90,Jr. Automation Process Engineer,Crystal Claire Cosmetics Inc,"Toronto, ON",https://ca.indeed.com/jobs?q=Junior+Process+Engineer&l=canada&sort=date&fromage=14&start=10&vjk=pj_5c861f71660bdd90
80,3,p_bb32230b8141d238,Junior Process Engineer,Enerkem Inc.,"Montréal, QC",https://ca.indeed.com/jobs?q=Junior+Process+Engineer&l=canada&sort=date&fromage=14&start=10&vjk=p_bb32230b8141d238
81,3,p_1172f615ab98a9f7,"Engineer - Process, Junior",Linamar Corp,"Guelph, ON",https://ca.indeed.com/jobs?q=Junior+Process+Engineer&l=canada&sort=date&fromage=14&start=10&vjk=p_1172f615ab98a9f7
82,3,p_50c173dda09569e5,Junior/intermediate Project and Process Engineers,Atlas BA Consulting Engineering,"Calgary, AB",https://ca.indeed.com/jobs?q=Junior+Process+Engineer&l=canada&sort=date&fromage=14&start=10&vjk=p_50c173dda09569e5
83,3,p_34a2c582637605d1,Junior Process Engineer (Open),SNC-Lavalin,"Mississauga, ON",https://ca.indeed.com/jobs?q=Junior+Process+Engineer&l=canada&sort=date&fromage=14&start=10&vjk=p_34a2c582637605d1
84,3,p_3fd3f65e2782b38c,Junior Process/Mechanical Engineer,SNC-Lavalin,"Mississauga, ON",https://ca.indeed.com/jobs?q=Junior+Process+Engineer&l=canada&sort=date&fromage=14&start=10&vjk=p_3fd3f65e2782b38c
85,4,p_c59fa4a33fd686c0,Logistics Engineering Analyst,L3Harris,Canada,https://ca.indeed.com/jobs?q=Junior+Chemical+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_c59fa4a33fd686c0
86,4,pj_c714ccec904801fe,Intermediate/Senior Piping Designer,JNE Cousulting,"Hamilton, ON",https://ca.indeed.com/jobs?q=Junior+Chemical+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=pj_c714ccec904801fe
87,4,p_e591b271e7e17473,Junior R&D Engineer (Temporary 1 year),Enerkem Inc.,"Westbury, QC",https://ca.indeed.com/jobs?q=Junior+Chemical+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_e591b271e7e17473
88,4,p_8d6cfe27e81a8bab,Senior Control and Automation Engineer - Nuclear,Hatch,"Mississauga, ON",https://ca.indeed.com/jobs?q=Junior+Chemical+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_8d6cfe27e81a8bab
89,4,pj_5c861f71660bdd90,Jr. Automation Process Engineer,Crystal Claire Cosmetics Inc,"Toronto, ON",https://ca.indeed.com/jobs?q=Junior+Chemical+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=pj_5c861f71660bdd90
90,4,p_bb32230b8141d238,Junior Process Engineer,Enerkem Inc.,"Montréal, QC",https://ca.indeed.com/jobs?q=Junior+Chemical+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_bb32230b8141d238
91,4,p_ffae944d57ed77ed,Engineering Intern,Jacobs,"Calgary, AB",https://ca.indeed.com/jobs?q=Junior+Chemical+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_ffae944d57ed77ed
92,4,p_b31ce1e6da51ecdf,Intermediate/Senior Electrical Engineer,mCloud,"Grande Prairie, AB",https://ca.indeed.com/jobs?q=Junior+Chemical+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_b31ce1e6da51ecdf
93,4,p_b975563931a16ce4,Junior Water/Wastewater Engineer,Jacobs,"Toronto, ON",https://ca.indeed.com/jobs?q=Junior+Chemical+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_b975563931a16ce4
94,4,p_5ac4444ae8d26774,Steam Plant Operator II (Permanent) - One (1) Position,Heartland Generation Ltd.,"Joffre, AB",https://ca.indeed.com/jobs?q=Junior+Chemical+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_5ac4444ae8d26774
95,4,p_2be1d73642571db3,Water/Wastewater Engineer,Dillon Consulting Limited,"Kitchener, ON",https://ca.indeed.com/jobs?q=Junior+Chemical+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_2be1d73642571db3
96,4,p_feb239d568734987,Operations Technician,NOVA Chemicals Corporation,"Lacombe County, AB",https://ca.indeed.com/jobs?q=Junior+Chemical+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_feb239d568734987
97,4,p_50c173dda09569e5,Junior/intermediate Project and Process Engineers,Atlas BA Consulting Engineering,"Calgary, AB",https://ca.indeed.com/jobs?q=Junior+Chemical+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_50c173dda09569e5
98,4,p_34a2c582637605d1,Junior Process Engineer (Open),SNC-Lavalin,"Mississauga, ON",https://ca.indeed.com/jobs?q=Junior+Chemical+Engineer&l=canada&sort=date&fromage=14&start=0&vjk=p_34a2c582637605d1
